content,date posted
"Shutterbox said:
			
		
	
	
		
		
			Thought of getting a coe car.

Hopefully can get a workshop to service the car too.



Currently don't have any workshops that I know of.

Can recommend any?

Those workshop boss, able to assist with car inspections for purchase too?
		
		Click to expand...
	
2nd hand cars are bought over when people sell, then they just resell to other buyers. Hardly, the dealer will do anything to the car when it's under their care, unless they were test driving it and broke something or found something needs fixing.



For the STA inspection, you can request the dealer to send in for peace of mind, but that would require deposit from you as a form of agreement you will buy the car if the results come back satisfactory or else they would absorb your deposit. This will be to safeguard people from choosing 100 cars and request all of it to be evaluated then not wanting to buy any.



As for repairs, it would be wise to spare 5K in  your bank account for repairs that will happen after you collect the car. Generally, a bit of repairs is necessary and it might be goodwill of the dealer either to help you repair fully, or split the cost, or advise you to absorb it as part of your ownership cost.



For servicing just google, some of the bigger names, like Autosaver (franchise) will be able to do most cars, mercedes, BMW etc I'm not familiar with the 3rd party shops out there.



Don't fret too much on the inspection of the car, mileage will be tampered, things will spoil and will fail, and repairs will be needed. You can't run from it.",19-01-22
"Thanks guys. 

Forgot to mention I intend to buy a coe Toyota Allion or Honda city, probably 2008/9 model",19-01-22
"Shutterbox said:
			
		
	
	
		
		
			Thanks guys.

Forgot to mention I intend to buy a coe Toyota Allion or Honda city, probably 2008/9 model
		
		Click to expand...
	
2008 mean likely 2nd renewal already.



5 year COE cannot be renewed further.

10 year COE can be renewed again (3rd time).



Take note, when you scrap the car, you are only getting back COE (remaining) and scrap metal value. There is no PARF value anymore, if you intend to renew for the 3rd cycle of COE, 5 years COE cannot be extended further.



Your road tax is now at 50% of the base value, ie: S642 x 1.5.



You also need to go inspection yearly for COE cars.







For Toyota and Honda, generally, the spare parts are a lot and easy to get, so don't have to be afraid. just make sure the engine is not 'eating' the oil , brakes work, serviced regularly. Once collected, might be good to service the car once at it's odo mileage for peace of mind.",19-01-22
"EJB said:
			
		
	
	
		
		
			2008 mean likely 2nd renewal already.



5 year COE cannot be renewed further.

10 year COE can be renewed again (3rd time).



Take note, when you scrap the car, you are only getting back COE (remaining) and scrap metal value. There is no PARF value anymore, if you intend to renew for the 3rd cycle of COE, 5 years COE cannot be extended further.



Your road tax is now at 50% of the base value, ie: S642 x 1.5.



You also need to go inspection yearly for COE cars.







For Toyota and Honda, generally, the spare parts are a lot and easy to get, so don't have to be afraid. just make sure the engine is not 'eating' the oil , brakes work, serviced regularly. Once collected, might be good to service the car once at it's odo mileage for peace of mind.
		
		Click to expand...
	
1st coe set 2008-2018

Now should be 2018-2028",19-01-22
"Shutterbox said:
			
		
	
	
		
		
			1st coe set 2008-2018

Now should be 2018-2028
		
		Click to expand...
	
Yeah, should being the keyword, the buying price of the car should tell you it's next COE is 5 or 10 years. 5 years will be cheaper vs a 10 year COE.",19-01-22
"EJB said:
			
		
	
	
		
		
			Yeah, should being the keyword, the buying price of the car should tell you it's next COE is 5 or 10 years. 5 years will be cheaper vs a 10 year COE.
		
		Click to expand...
	
5 Yr coe, cannot renew the same car right? (not that I plan to)",19-01-22
"Shutterbox said:
			
		
	
	
		
		
			Thanks guys.

Forgot to mention I intend to buy a coe Toyota Allion or Honda city, probably 2008/9 model
		
		Click to expand...
	
Hi shutter, thought you want Honda?",19-01-22
"Shutterbox said:
			
		
	
	
		
		
			5 Yr coe, cannot renew the same car right? (not that I plan to)
		
		Click to expand...
	
Yes. 5 year cannot renew. I prefer to go 10years if I pamper my car after major car ops (change lots of parts).",19-01-22
"Shutterbox said:
			
		
	
	
		
		
			5 Yr coe, cannot renew the same car right? (not that I plan to)
		
		Click to expand...
	
Cannot, once it's been renewed 5 years, you cannot extend further liao.",19-01-22
"LoUsyGamER said:
			
		
	
	
		
		
			Hi shutter, thought you want Honda?
		
		Click to expand...
	
Honda or Toyota, need to see condition.. 

Unless, other option pop up

or

I tio big toto",19-01-22
"I go to Nxpress Performance at Synergy@KB , they are not the cheapest but I find the workmanship to be more reliable. Please do your own research. 



Also I have a 2009 cerato for sales left 2 years if you're interested.",02-02-22
"Shutterbox said:
			
		
	
	
		
		
			Thought of getting a coe car.

Hopefully can get a workshop to service the car too.



Currently don't have any workshops that I know of.

Can recommend any?

Those workshop boss, able to assist with car inspections for purchase too?
		
		Click to expand...
	
My advice: Stick to paying AA $140 for inspection. Workshop unless you know the very person doing the inspection will be thorough, donâ€™t bother ... even reputable workshops have tao chiews who think of themselves as seen-one-seen-all and do a half-Â£@â‚¬#ed job of inspecting a car.



But for regular servicing, Autosaver is now at Synergy@KB with OG Defu staff.",02-02-22
"I think posted sometime back about my car brake giving squeaky sound. So now want to bring it in to check. Wcega Tower is the nearest to me. Any good & reliable workshop to recommend?



Thanks.",22-03-21
More new/used car dealers there than workshops.,22-03-21
"Li Hong auto can try. Started as trye shop now become so servicing also 

Always see full house with continental car",22-03-21
Can try Uautocare. Friendly boss who does the work himself alongside 2 workers.,24-03-21
"SuperSprint said:
			
		
	
	
		
		
			Li Hong auto can try. Started as trye shop now become so servicing also 

Always see full house with continental car
		
		Click to expand...
	


Haven open already long queue cars waiting. Avoid. I did tyre rotation there before and impressed by their service n pricing",24-03-21
"elf108 said:
			
		
	
	
		
		
			Haven open already long queue cars waiting. Avoid. I did tyre rotation there before and impressed by their service n pricing
		
		Click to expand...
	


So is good or bad?",24-03-21
"oh Wcega Tower is near me oso

waiting for more recommendations",30-03-21
"UGeene said:
			
		
	
	
		
		
			Can try Uautocare. Friendly boss who does the work himself alongside 2 workers.
		
		Click to expand...
	
This one uses OEM parts. But yes the boss is friendly. Did my major servicing there.",30-03-21
"exterminazn said:
			
		
	
	
		
		
			So is good or bad?
		
		Click to expand...
	
Ok not bad. Went there to service my car, because car giving ""squeaky"" sound when applying brakes. The mechanic took it for test drive and found rear wheel brake shoe is the one giving the sound. Changed it, now no more that ""squeaky"" sound.",30-03-21
The Local Workshop not bad too,30-03-21
"Stallone said:
			
		
	
	
		
		
			The Local Workshop not bad too
		
		Click to expand...
	
Second this i using them also",02-04-21
"mp4005 help said:
			
		
	
	
		
		
			The WS I go to. Bring everything also about $80 for engine oil change. And the WS business so good until charge GST.
		
		Click to expand...
	


Is time to change workshop lor. Kenna carrot?  

My sushi ride, they charge $30 only for labour. Bring in own oil and filter. 

There is also another workshop that change EO and filter for FREE. Happens on Sundays only. As usual, bring your EO and filters.",23-08-20
"It is like the gold investment ponzi scheme.

Promise u good returns but in the end run off with money.

If the deal is too good to b true, it probably is.



If labour for free, must see how they can b profitable as a shop. 

If cannot find reason why they can b profitable, I sometimes worry free labour may b â€œto good to b trueâ€.
			
			Â 
			
				
			
		

		

		
	

								

								
									
	
		
			
				Last edited: Aug 23, 2020",23-08-20
"myviowner said:
			
		
	
	
		
		
			Is time to change workshop lor. Kenna carrot?  

My sushi ride, they charge $30 only for labour. Bring in own oil and filter. 

There is also another workshop that change EO and filter for FREE. Happens on Sundays only. As usual, bring your EO and filters.
		
		Click to expand...
	


Been going there for more than 15 years. Trust worthy and reliable enough that I don't mind paying. Can afford to drive car , good maintenance and advice is cheap. 

Seen his shop grow until take over other WSs. All sort of cars go there from high end to low end. Even Jeeps.",23-08-20
"myviowner said:
			
		
	
	
		
		
			Is time to change workshop lor. Kenna carrot?  

My sushi ride, they charge $30 only for labour. Bring in own oil and filter. 

There is also another workshop that change EO and filter for FREE. Happens on Sundays only. As usual, bring your EO and filters.
		
		Click to expand...
	


Some even less than 30 . But dun have proper equipment to lift the car . 

The one I go recently charge more than 50 for labor , but they lift the vehicle up and got to check the undercarriage . 

Most importantly they are quite honest in accessing the parts and dun anyhow ask ppl to replace .  

Dun mind to pay more if build up rapport with the workshop workers",23-08-20
"iantao99 said:
			
		
	
	
		
		
			The right thing to do for the workshop is to charge for problem diagnosis and waive charge if repair is done with workshop.



But I only know of one WS that charge this way.
		
		Click to expand...
	


Where is this workshop?",23-08-20
"myviowner said:
			
		
	
	
		
		
			EO and filter change or brake pads set replacement, market rate is $30. (Non-conti)



$90/hr is on the high side.
		
		Click to expand...
	


Mine is a European car. They appear to go around testing the vehicle's battery etc, brake pad levels etc as well and generate a report so maybe that's why it's higher hmm",23-08-20
"Had a horrible experience changing my brake pad at a workshop along old woodlands road. This uncle for some reason not able to secure my brakepad and took 3 fuking hours to change it. Messed up my handbrake too. 



Only found out when i send my car to my cousin's mechanic and then he mentioned a clip wasnt fasten back onto my brakepad.",23-08-20
"liquidh said:
			
		
	
	
		
		
			Where is this workshop?
		
		Click to expand...
	


Unfortunately, this workshop was the one mentioned in my earlier post that tried to get me to change my good belt pulley.



I will not mention names as I do not have evidence of misdeeds.",24-08-20
"Fatfool said:
			
		
	
	
		
		
			Mine is a European car. They appear to go around testing the vehicle's battery etc, brake pad levels etc as well and generate a report so maybe that's why it's higher hmm
		
		Click to expand...
	


OIC, this also give you safe of mind and give the wksp an opportunity to earn more. 

Win win situation",24-08-20
"I think generally send to ws which have patrons is often less risky than empty ws. Means the ws reputation no gd.



Sent from  Toilet While Making Cake.  using GAGT",24-08-20
"Wanted to change default coding for car functions at start up.

Eg, air-con default at internal circulation instead of auto.

I drive in city area, always kena smelly traffic exhaust.



AD say cannot change default as it is a safety feature.

Not sure got kid me or not. 



Found on conti car forum a coding specialist.

communicated with him via pm and found that he seems to know his stuff.

He was able to articulate well and did not seem like the typical mechanic.



Went to his workshop to do the codings.



Coincidentally on day I went, my dash board has battery discharge error in morning. So ask coding man to help find reason as well, thinking electrical faults are easy to find with computer diagnostics.



My mistake.



The mechanic ask if I want to do free 21 point car check. 

I politely declined as just had a full car check at AD.



Sitting in lounge, after awhile, coding man told me;

1) Battery discharge error due battery weak, need to change.

2) Brake pad worn out, need to change.



KNN, thot i said no need to do car check, why check brake pads?



Anyway I was shocked as I just changed brake pads with AD 1 week ago.

I requested for a photo of my car worn brake pads thinking either this mechanic play punk or AD never change pads but charged me for it.

Ended up the owner apologise and say the mechanic saw wrongly about the brake pads.



Paid for coding and battery change.



The discharge error was still there the next morning.

Brought back to AD and realised it was due to the car cam wiring that I installed afew days ago.

Simple rewiring solved the problem.



I was happy with the codings outcome. 

The workshop owner even threw in afew other codings free. (no cost to him as just plug in computer and change defualts, all done within minutes).



Paid for a new battery I didn't need.

Almost got scammed into changing brake pads.



I learnt that workshops invite you into their workshops with freebies / deals so that they have reasons to check your car and try to scam you into changing parts.



Some malicious ones may intentionally damage you car if you don't give them some form of business.



Finding a trustworthy workshop is a challenge. 
			
			Â 
			
				
			
		

		

		
	

								

								
									
	
		
			
				Last edited: Aug 24, 2020",24-08-20
"iantao99 said:
			
		
	
	
		
		
			Wanted to change default coding for car functions at start up.

Eg, air-con default at internal circulation instead of auto.

I drive in city area, always kena smelly traffic exhaust.



AD say cannot change default as it is a safety feature.

Not sure got kid me or not. 



Found on conti car forum a coding specialist.

communicated with him via pm and found that he seems to know his stuff.

He was able to articulate well and did not seem like the typical mechanic.



Went do to his workshop to do the codings.



Coincidentally on day I went, my dash board has battery discharge error in morning. So ask coding man to help find reason as well.



The mechanic ask if I want to do free 21 point car check. 

I politely decline as just had a full car check at AD.



Sitting in lounge, after awhile, workshop owner told me;

1) Battery discharge error due battery weak, need to change.

2) Brake pad worn out, need to change.



KNN, thot i said no need to do car check, why check brake pads?



Anyway I was shocked as I just changed brake pads with AD 1 week ago.

I requested for a photo of my car worn brake pads thinking either this mechanic play punk or AD never change pads but charged me for it.

Ended up the owner apologise and say the mechanic saw wrongly about the brake pads.



Paid for coding and battery change.



The discharge error was still there the next morning.

Brought back to AD and realised it was due to the car cam wiring that I installed afew days ago.

Simple rewiring solved the problem.



The workshop owner did the codings and it worked out well. 

He threw in afew other codings free. (no cost to him as just plug in computer and change defualts, do 1 and do 10 is the same to him).



Paid for a new battery I didn't need.

Almost got scammed into changing brake pads.



I learnt that workshops invite you into their workshops with freebies / deals so that they have reasons to check your car and try to scam you into changing parts.



So malicious ones will intentionally damage you car if you don't give them some form of business.



Finding a trustworthy workshop is a challenge. 
		
		Click to expand...
	
If u go outside wkshp, get off ur butt and walk around ur car to look see look see ask qns. So when wkshp owner charge u something, u know its BS or not. The mechs will tell u as it is, the wkshp owner will try cannon fairy u.",24-08-20
"iantao99 said:
			
		
	
	
		
		
			Wanted to change default coding for car functions at start up.

Eg, air-con default at internal circulation instead of auto.

I drive in city area, always kena smelly traffic exhaust.



AD say cannot change default as it is a safety feature.

Not sure got kid me or not. 



Found on conti car forum a coding specialist.

communicated with him via pm and found that he seems to know his stuff.

He was able to articulate well and did not seem like the typical mechanic.



Went to his workshop to do the codings.



Coincidentally on day I went, my dash board has battery discharge error in morning. So ask coding man to help find reason as well, thinking electrical faults are easy to find with computer diagnostics.



My mistake.



The mechanic ask if I want to do free 21 point car check. 

I politely declined as just had a full car check at AD.



Sitting in lounge, after awhile, coding man told me;

1) Battery discharge error due battery weak, need to change.

2) Brake pad worn out, need to change.



KNN, thot i said no need to do car check, why check brake pads?



Anyway I was shocked as I just changed brake pads with AD 1 week ago.

I requested for a photo of my car worn brake pads thinking either this mechanic play punk or AD never change pads but charged me for it.

Ended up the owner apologise and say the mechanic saw wrongly about the brake pads.



Paid for coding and battery change.



The discharge error was still there the next morning.

Brought back to AD and realised it was due to the car cam wiring that I installed afew days ago.

Simple rewiring solved the problem.



I was happy with the codings outcome. 

The workshop owner even threw in afew other codings free. (no cost to him as just plug in computer and change defualts, all done within minutes).



Paid for a new battery I didn't need.

Almost got scammed into changing brake pads.



I learnt that workshops invite you into their workshops with freebies / deals so that they have reasons to check your car and try to scam you into changing parts.



Some malicious ones may intentionally damage you car if you don't give them some form of business.



Finding a trustworthy workshop is a challenge. 
		
		Click to expand...
	


To them, is a added value service offered to customers. You want to change or not, decision is yours.

As others mentioned, move your butt and walk around... chat with the mechanics that handle your ride. 

Yes, nice cozy air con customer lounge and free drinks and movie is tempting. lolz",24-08-20
"mel1888 said:
			
		
	
	
		
		
			If u go outside wkshp, get off ur butt and walk around ur car to look see look see ask qns. So when wkshp owner charge u something, u know its BS or not. The mechs will tell u as it is, the wkshp owner will try cannon fairy u.
		
		Click to expand...
	







	
		
			
				myviowner said:
			
		
	
	
		
		
			To them, is a added value service offered to customers. You want to change or not, decision is yours.

As others mentioned, move your butt and walk around... chat with the mechanics that handle your ride. 

Yes, nice cozy air con customer lounge and free drinks and movie is tempting. lolz
		
		Click to expand...
	


unless the mechanic is new or blur, wouldn't the song they sing be inline with the boss ?
			
			Â 
			
				
			
		

		

		
	

								

								
									
	
		
			
				Last edited: Aug 26, 2020",25-08-20
what would you guys do if you know the workshop screwed with your car so that you need to spend money to repair it ?,25-08-20
"iantao99 said:
			
		
	
	
		
		
			unless the mechanic is new or blur, wouldn't the song they sing should be inline with the boss ?
		
		Click to expand...
	
Yes it happens but rare. Those they employ are usually Malaysians who worked in garages back hm.

And ur wrong abt sing same song as boss.

That is bec the boss have not ""aligned"" story with mech. The qns u ask is on the spot to the mech. The boss will say one thing when u payin and u rebutt with what mech said, boss back peddle. Those who have done this would have encountered it b4.",25-08-20
"iantao99 said:
			
		
	
	
		
		
			what would you guys do if you know the workshop screwed with your car so that you need to spend money to repair it ?
		
		Click to expand...
	
u point out ur damages prior to work commencement. After finished u check ur car b4 u leave workshop. Any addition damages they have to resolve, there is no escaping that. But if its ur car internals that u cannot see and only find out later, bring back wksp talk to boss nicely and firmly to fix. Thats all u can do.
			
			Â 
			
				
			
		

		

		
	

								

								
									
	
		
			
				Last edited: Aug 25, 2020",25-08-20
"mel1888 said:
			
		
	
	
		
		
			u point out ur damages prior to work commencement. After finished u check ur car b4 u leave workshop. Any addition damages they have to resolve, there is no escaping that. But if its ur car internals that u cannot see and only find out later, bring back wksp talk to boss nicely and firmly to fix. Thats all u can do.
		
		Click to expand...
	


If the workshop can damage car, they are probably prepared when questioned.



If the boss denies any wrong doing and insist on charging for repairs?",25-08-20
"I donâ€™t understand why some people can leave their car servicing then go elsewhere. I always stay around and always go under my car during draining oil to see the condition myself and take video and picture. 



Then can also talk talk to Mechanic doing your car. Usually they can sense you know abit car wun try to smoke u to change things.",25-08-20
"iantao99 said:
			
		
	
	
		
		
			If the workshop can damage car, they are probably prepared when questioned.



If the boss denies any wrong doing and insist on charging for repairs?
		
		Click to expand...
	
Did your car get damaged?",25-08-20
"Where to change battery the cheapest. Pls intro.



Amron brand preferred",31-08-20
"The workshop i always go to for my bmw is the best.  



R2D workshop",31-08-20
"CaptainTeo said:
			
		
	
	
		
		
			Where to change battery the cheapest. Pls intro.



Amron brand preferred
		
		Click to expand...
	


Pre-owned batteries?",31-08-20
"myviowner said:
			
		
	
	
		
		
			Pre-owned batteries?
		
		Click to expand...
	


As in refurbished batteries? 

Never knew they exist.

Whatâ€™s their expected lifespan and cost?",31-08-20
I just want to change since my current battery now 1 year 10 months,
"iantao99 said:
			
		
	
	
		
		
			As in refurbished batteries? 

Never knew they exist.

Whatâ€™s their expected lifespan and cost?
		
		Click to expand...
	


As in used units.

Cater for those rides left few months to scrap and or owners trading in their rides.",
"mel1888 said:
			
		
	
	
		
		
			Did your car get damaged?
		
		Click to expand...
	


Unfortunately yes. mentioned in previous post.
			
			Â 
			
				
			
		

		

		
	

								

								
									
	
		
			
				Last edited: Aug 25, 2020",25-08-20
"iantao99 said:
			
		
	
	
		
		
			Wanted to change default coding for car functions at start up.

Eg, air-con default at internal circulation instead of auto.

I drive in city area, always kena smelly traffic exhaust.



AD say cannot change default as it is a safety feature.

Not sure got kid me or not. 



Found on conti car forum a coding specialist.

communicated with him via pm and found that he seems to know his stuff.

He was able to articulate well and did not seem like the typical mechanic.



Went to his workshop to do the codings.



Coincidentally on day I went, my dash board has battery discharge error in morning. So ask coding man to help find reason as well, thinking electrical faults are easy to find with computer diagnostics.



My mistake.



The mechanic ask if I want to do free 21 point car check. 

I politely declined as just had a full car check at AD.







Sitting in lounge, after awhile, coding man told me;

1) Battery discharge error due battery weak, need to change.

2) Brake pad worn out, need to change.



KNN, thot i said no need to do car check, why check brake pads?



Anyway I was shocked as I just changed brake pads with AD 1 week ago.

I requested for a photo of my car worn brake pads thinking either this mechanic play punk or AD never change pads but charged me for it.

Ended up the owner apologise and say the mechanic saw wrongly about the brake pads.



Paid for coding and battery change.



The discharge error was still there the next morning.

Brought back to AD and realised it was due to the car cam wiring that I installed afew days ago.

Simple rewiring solved the problem.



I was happy with the codings outcome. 

The workshop owner even threw in afew other codings free. (no cost to him as just plug in computer and change defualts, all done within minutes).



Paid for a new battery I didn't need.

Almost got scammed into changing brake pads.



I learnt that workshops invite you into their workshops with freebies / deals so that they have reasons to check your car and try to scam you into changing parts.



Some malicious ones may intentionally damage you car if you don't give them some form of business.



Finding a trustworthy workshop is a challenge. 
		
		Click to expand...
	














Even AD also cant be trusted fully.

My AD told me car battery going dead soon during 40k major servicing,

I told them don't need and now car is 50k mileage and battery still strong.lolâ€¦

All my previous car after warranty end.i visit those cheap servicing workshop (range from $38 to $58),so far so good.Never encounter any problem.",25-08-20
"iantao99 said:
			
		
	
	
		
		
			Unfortunately yes. mentioned in previous post.
		
		Click to expand...
	
LL. If u confront them, they still tida ah pa then suck thumb. Theres nothin u can do. But sometimes it does, a wkshp re-sprayed the bumper for me b4. Some act blur hope owner keep quiet.",25-08-20
"SuperSprint said:
			
		
	
	
		
		
			I donâ€™t understand why some people can leave their car servicing then go elsewhere. I always stay around and always go under my car during draining oil to see the condition myself and take video and picture. 



Then can also talk talk to Mechanic doing your car. Usually they can sense you know abit car wun try to smoke u to change things.
		
		Click to expand...
	


The temptation of cozy customer lounge. Free drinks...etc lolz.",25-08-20
"mel1888 said:
			
		
	
	
		
		
			LL. If u confront them, they still tida ah pa then suck thumb. Theres nothin u can do. But sometimes it does, a wkshp re-sprayed the bumper for me b4. Some act blur hope owner keep quiet.
		
		Click to expand...
	


If it is genuine mistake, most workshop will rectify problem to retain goodwill.



The problem lies with those who has malicious intent. 

I agree with u that such cases will have to suck thumb and move on.",25-08-20
